adl_id,city,state,date,Type,Nature,Perpetrator,Target,Location,cityID
9985,Los Angeles,CA,2019-10-01,Performance,Nazi,Student,Student,Not Specified,ca-los angeles
10836,Los Angeles,CA,2019-11-01,NA,NA,NA,NA,NA,ca-los angeles
12088,Los Angeles,CA,2019-11-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-los angeles
12222,Los Angeles,CA,2019-12-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-los angeles
12168,Los Angeles,CA,2019-12-01,Vandalism,Nazi,Student,Not Specified,In School,ca-los angeles
11744,Marina Del Ray,CA,2019-04-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-marina del ray
11745,North Hollywood,CA,2019-04-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-north hollywood
10438,North Hollywood,CA,2019-09-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-north hollywood
1795,Northridge,CA,2016-04-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-northridge
12076,Northridge,CA,2019-11-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-northridge
2868,Pacific Palisades,CA,2017-04-01,Vandalism,General Antisemitism,Not Specified,Not Specified,In School,ca-pacific palisades
2816,Pasadena,CA,2017-02-01,Harassment,Nazi,Student,Student,In School,ca-pasadena
10818,Santa Clarita,CA,2019-10-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-santa clarita
10819,Santa Clarita,CA,2019-10-01,Vandalism,General Antisemitism,Not Specified,Not Specified,In School,ca-santa clarita
10819,Santa Clarita,CA,2019-10-01,Vandalism,Oppression Connection,Not Specified,Not Specified,In School,ca-santa clarita
10819,Santa Clarita,CA,2019-10-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-santa clarita
10117,Sherman Oaks,CA,2019-03-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-sherman oaks
2775,South Pasadena,CA,2017-02-01,Harassment,Nazi,Student,Student,Not Specified,ca-south pasadena
6006,South Pasadena,CA,2018-05-01,Cyberbullying,General Antisemitism,Student,Student,Social Media,ca-south pasadena
9616,Tarzana,CA,2019-03-01,Literature Dump,General Antisemitism,Not Specified,Not Specified,In School,ca-tarzana
9616,Tarzana,CA,2019-03-01,Literature Dump,Nazi,Not Specified,Not Specified,In School,ca-tarzana
9616,Tarzana,CA,2019-03-01,Literature Dump,Israel,Not Specified,Not Specified,In School,ca-tarzana
9616,Tarzana,CA,2019-03-01,Literature Dump,Conspiracy,Not Specified,Not Specified,In School,ca-tarzana
11706,Van Nuys,CA,2019-03-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-van nuys
12078,West Hollywood,CA,2019-11-01,Vandalism,Nazi,Not Specified,Not Specified,School Grounds,ca-west hollywood
9612,Woodland Hills,CA,2019-03-01,Literature Dump,General Antisemitism,Not Specified,Not Specified,In School,ca-woodland hills
9612,Woodland Hills,CA,2019-03-01,Literature Dump,Nazi,Not Specified,Not Specified,In School,ca-woodland hills
9612,Woodland Hills,CA,2019-03-01,Literature Dump,Israel,Not Specified,Not Specified,In School,ca-woodland hills
9612,Woodland Hills,CA,2019-03-01,Literature Dump,Conspiracy,Not Specified,Not Specified,In School,ca-woodland hills
9689,Woodland Hills,CA,2019-04-01,Vandalism,Nazi,Student,Student,In School,ca-woodland hills
6901,Kentfield,CA,2018-11-01,Vandalism,General Antisemitism,Not Specified,Not Specified,In School,ca-kentfield
10067,Kentfield,CA,2019-02-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-kentfield
1280,Larkspur,CA,2016-10-01,Vandalism,Nazi,Not Specified,Student,In School,ca-larkspur
2891,Larkspur,CA,2017-05-01,Harassment,Nazi,Not Specified,Student,Not Specified,ca-larkspur
9903,Novato,CA,2019-08-01,Literature Dump,Conspiracy,Not Specified,Not Specified,In School,ca-novato
9903,Novato,CA,2019-08-01,Literature Dump,Israel,Not Specified,Not Specified,In School,ca-novato
2987,San Anselmo,CA,2017-10-01,Vandalism,Nazi,Not Specified,Not Specified,School Grounds,ca-san anselmo
2213,San Rafael,CA,2016-12-01,Harassment,General Antisemitism,Student,Student,In School,ca-san rafael
2213,San Rafael,CA,2016-12-01,Harassment,Nazi,Student,Student,In School,ca-san rafael
2900,Monterey,CA,2017-05-01,Vandalism,Nazi,Student,Teacher,In School,ca-monterey
2900,Monterey,CA,2017-05-01,Harassment,Nazi,Student,Teacher,In School,ca-monterey
9691,Garden Grove,CA,2019-04-01,Performance,Nazi,Student,Student,Not Specified,ca-garden grove
12167,Garden Grove,CA,2019-12-01,Harassment,General Antisemitism,Student,Student,In School,ca-garden grove
3011,Irvine,CA,2017-12-01,Harassment,General Antisemitism,Student,Student,Not Specified,ca-irvine
9498,Irvine,CA,2019-01-01,Performance,Nazi,Student,Student,School Event,ca-irvine
9943,Irvine,CA,2019-09-01,Harassment,General Antisemitism,Student,Not Specified,In School,ca-irvine
10581,Irvine,CA,2019-10-01,Harassment,General Antisemitism,Student,Student,Not Specified,ca-irvine
12229,Irvine,CA,2019-12-01,Harassment,Nazi,Student,Student,In School,ca-irvine
2897,Laguna Beach,CA,2017-05-01,Harassment,Nazi,Student,Student,In School,ca-laguna beach
2965,Laguna Beach,CA,2017-09-01,Harassment,General Antisemitism,Student,Student,Not Specified,ca-laguna beach
6041,Laguna Beach,CA,2018-05-01,Cyberbullying,Nazi,Student,Not Specified,Social Media,ca-laguna beach
9752,Laguna Beach,CA,2019-05-01,Harassment,General Antisemitism,Student,Student,Not Specified,ca-laguna beach
10326,Lake Forest,CA,2019-06-01,Vandalism,General Antisemitism,Not Specified,Not Specified,In School,ca-lake forest
10326,Lake Forest,CA,2019-06-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-lake forest
2824,Mission Viejo,CA,2017-03-01,Harassment,General Antisemitism,Teacher,Not Specified,In School,ca-mission viejo
2824,Mission Viejo,CA,2017-03-01,Harassment,Oppression Connection,Teacher,Not Specified,In School,ca-mission viejo
7566,Newport Beach,CA,2019-03-10,Literature Dump,Nazi,Outsider,Not Specified,School Grounds,ca-newport beach
7566,Newport Beach,CA,2019-03-10,Literature Dump,General Antisemitism,Outsider,Not Specified,School Grounds,ca-newport beach
6374,San Clemente,CA,2018-08-01,Vandalism,General Antisemitism,Not Specified,Not Specified,School Grounds,ca-san clemente
9977,Santa Ana,CA,2019-10-01,Performance,Nazi,Student,Student,In School,ca-santa ana
2993,Tustin,CA,2017-11-01,Harassment,General Antisemitism,Student,Student,In School,ca-tustin
2993,Tustin,CA,2017-11-01,Vandalism,Nazi,Student,Student,In School,ca-tustin
5936,Tustin,CA,2018-05-01,Harassment,General Antisemitism,Teacher,Student,In School,ca-tustin
9939,Tustin,CA,2019-09-01,Harassment,Nazi,Not Specified,Student,In School,ca-tustin
6532,Yorba Linda,CA,2018-10-01,Vandalism,Nazi,Student,Student,In School,ca-yorba linda
9745,Yorba Linda,CA,2019-05-01,Harassment,Nazi,Student,Not Specified,In School,ca-yorba linda
9983,Yorba Linda,CA,2019-10-01,Harassment,General Antisemitism,Student,Student,Not Specified,ca-yorba linda
10853,Yorba Linda,CA,2019-11-01,Vandalism,Nazi,Student,Student,In School,ca-yorba linda
2940,Roseville,CA,2017-08-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-roseville
2940,Roseville,CA,2017-08-01,Vandalism,Oppression Connection,Not Specified,Not Specified,In School,ca-roseville
1137,Indio,CA,2016-10-01,Performance,Nazi,Student,Not Specified,In School,ca-indio
1138,Indio,CA,2016-12-01,Harassment,General Antisemitism,Not Specified,Student,Not Specified,ca-indio
1138,Indio,CA,2016-12-01,Harassment,Nazi,Not Specified,Student,Not Specified,ca-indio
9609,La Quinta,CA,2019-03-01,Harassment,Nazi,Student,Teacher,In School,ca-la quinta
1881,Palm Desert,CA,2016-11-01,Harassment,Nazi,Student,Student,In School,ca-palm desert
2772,Palm Springs,CA,2017-01-01,Harassment,General Antisemitism,Not Specified,Not Specified,In School,ca-palm springs
2769,Palm Springs,CA,2017-01-01,Harassment,General Antisemitism,Student,Student,Not Specified,ca-palm springs
2856,Riverside,CA,2017-03-01,Literature Dump,General Antisemitism,Not Specified,Not Specified,In School,ca-riverside
2934,Riverside,CA,2017-08-01,Harassment,General Antisemitism,Student,Student,Not Specified,ca-riverside
2672,Wildomar,CA,2016-10-01,Vandalism,Nazi,Not Specified,Not Specified,School Grounds,ca-wildomar
2672,Wildomar,CA,2016-10-01,Vandalism,Oppression Connection,Not Specified,Not Specified,School Grounds,ca-wildomar
9606,Wildomar,CA,2019-03-01,Harassment,General Antisemitism,Not Specified,Student,In School,ca-wildomar
9747,Sacramento,CA,2019-05-01,Harassment,Nazi,Student,Student,Not Specified,ca-sacramento
9747,Sacramento,CA,2019-05-01,Performance,Nazi,Student,Student,Not Specified,ca-sacramento
9609,La Quinta,CA,2019-03-01,Harassment,Nazi,Student,Teacher,In School,ca-la quinta
7101,Redlands,CA,2018-12-01,Vandalism,Nazi,Student,Not Specified,In School,ca-redlands
2970,Bonita,CA,2017-10-01,Harassment,General Antisemitism,Student,Student,In School,ca-bonita
460,Carlsbad,CA,2016-10-01,Harassment,General Antisemitism,Student,Student,In School,ca-carlsbad
10827,Carlsbad,CA,2019-10-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-carlsbad
817,El Cajon,CA,2016-12-01,Harassment,General Antisemitism,Student,Student,School Grounds,ca-el cajon
6910,El Cajon,CA,2018-11-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-el cajon
1217,La Jolla,CA,2016-11-01,Performance,Nazi,Student,Student,School Event,ca-la jolla
10858,Pine Valley,CA,2019-11-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-pine valley
6583,Poway,CA,2018-10-01,Harassment,General Antisemitism,Student,Not Specified,Social Media,ca-poway
2147,San Diego,CA,2016-08-01,Harassment,Israel,Teacher,Not Specified,In School,ca-san diego
2142,San Diego,CA,2016-10-01,Harassment,Nazi,Student,Student,Social Media,ca-san diego
