adl_id,date,city,state,description
12187,12/1/19,Jersey City,NJ,"A woman blamed Jews and ""Jew shenanigans"" for the shooting at a kosher market in Jersey City, and the subsequent inconveniences to her community."
12188,12/1/19,Montclair,NJ,Three swastikas were found on desks in a classroom at Montclair High School.
12189,12/1/19,Brooklyn,NY,Confidential
12190,12/1/19,Brooklyn,NY,Swastika vandalism discovered in a school.
12191,12/1/19,Teaneck,NJ,"Driver in a car passing a synagogue yelled ""Sieg Heil."""
12192,12/1/19,Brooklyn,NY,A man was arrested for brandishing what turned out to be a fake gun at a Jewish man in Boro Park.
12193,12/1/19,Jacksonville,FL,Jewish student at a middle targeted by a classmate with anti-Semitic verbal harassment.
12194,12/1/19,New York,NY,A metal beam in a subway station was vandalized with swastika graffiti.
12195,12/1/19,San Diego,CA,Jewish elementary school student told by classmate that they couldn't play together because her father hates Jews and does not want Jews in his house.
12196,12/1/19,Sherman Oaks,CA,"""Heil Hitler"" was spray-painted on the sidewalk outside a synagogue."
12197,12/1/19,Sherman Oaks,CA,Swastika vandalism on sidewalk.
12198,12/1/19,St. Louis,MO,Individual received a harassing anti-Semitic direct message via Facebook.
12199,12/1/19,Saint Paul,MN,"Jewish organization received a letter that read ""Islam is Right About Jews,"" with quotes about killing Jews."
12200,12/1/19,Wilbraham,MA,A Jewish high school student was added to a Snapchat group with a swastika as the group name. Members of this Snapchat group subsequently sent anti-Semitic images and messages to the Jewish student.
12201,12/1/19,Charleston,SC,"Jewish student at a middle school harassed by peers who told her she had a ""big Jewish nose."""
12202,12/1/19,Hazlet,NJ,High school student directed the Nazi salute at other students.
12203,12/1/19,Bradenton,FL,Confidential
12204,12/1/19,Winchester,MA,Students were sent a photo of another student wearing a mask with a swastika drawn on it via Snapchat.
12205,12/1/19,Asheville,NC,Confidential
12206,12/1/19,Asheville,NC,Confidential
12207,12/1/19,Chapel Hill,NC,"UNC Chapel Hill reported that anti-Semitic, racist, and sexist words and symbols were found written in dorms."
12208,12/1/19,Thermopolis,WY,"Messianic symbols and the words ""repent you,"" a cross, and a ""do not"" slash through the menorah of the Messianic symbol were drawn outside a Jewish-owned business"
12209,12/1/19,Beverly Hills,CA,"Nessah Synagogue was broken into and vandalized. Prayer shawls, Torah scrolls, and prayer books were left strewn and desecrated."
12210,12/1/19,Huntington Woods,MI,Confidential
12211,12/1/19,Oceanside,NY,Individual made verbal anti-Semitic threats.
12212,12/1/19,Wantagh,NY,Coins were left outside a Jewish family's home in an attempt to harass them.
12213,12/1/19,Lakewood,NJ,"Jewish individual was referred to as a ""fucking Jew."""
12214,12/1/19,Columbus,OH,Jewish woman being harassed with anti-Semitic messages via direct messages in Facebook and YouTube.
12215,12/1/19,Rockaway,NJ,A Jewish organization received a harassing anti-Semitic voicemail from an individual who referenced the Jersey City shooting of a kosher market.
12216,12/1/19,South Brunswick Township,NJ,"Individual made harassing, anti-Semitic, and racist phone calls."
12218,12/1/19,Tarzana,CA,A sidewalk was vandalized with swastika graffiti.
12219,12/1/19,Boston,MA,"Jewish organization received an anti-Semitic and anti-Israel email saying ""Jews and their enablers make principled, moral Americans complicit in Israel's barbaric, pernicious, vile, evil abuse of Palestinians."
12220,12/1/19,Jersey City,NJ,"A white canvas board with anti-Semitic messages including ""6 million more"" and ""let him finish the job"" was left outside a Jewish institution."
12221,12/1/19,Lakewood,NJ,"""Hitler did nothing wrong"" was written on a whiteboard in a Jewish school."
12222,12/1/19,Los Angeles,CA,Swastika graffiti discovered at an elementary school.
12223,12/1/19,New York,NY,Toilet paper was used to fashion a swastika and left in the bathroom at a high school.
12224,12/1/19,Northridge,CA,Various buildings were defaced with swastika graffiti.
12225,12/1/19,Boston,MA,Elected official received an anti-Semitic and threatening phone message.
12226,12/1/19,Needham,MA,School administrators at Mitchell Elementary School reported that an anti-Semitic incident had occurred between fifth-grade students.
12227,12/1/19,Parsippany-Troy Hills Township,NJ,Confidential
12228,12/1/19,Brooklyn,NY,A woman on the street made anti-Semitic remarks and verbal threats to Jews.
12229,12/1/19,Irvine,CA,A high school student was the victim of ongoing anti-Semitic Holocaust jokes by a classmate.
12230,12/1/19,Los Angeles,CA,A Facebook user posted anti-Semitic messages in a Jewish Facebook group.
12231,12/1/19,Los Angeles,CA,A bus advertisement was vandalized with swastika graffiti.
12232,12/1/19,Oakland,NJ,"Jewish student victim of ongoing anti-Semitic harassment threats by classmate who said she should be ""gassed,"" and called her a ""Jewish piece of shit."""
12233,12/1/19,Voorhees,NJ,A student discovered a swastika had been scratched onto a gym locker.
12235,12/1/19,Deerfield,IL,"During a verbal altercation one neighbor referred to the other as a ""fucking Jew."""
12236,12/1/19,Los Angeles,CA,"During a dispute, a tenant called their landlord a ""fucking Jew."""
12237,12/1/19,Minneapolis,MN,Jewish campus organization received a conspiratorial anti-Semitic email.
12238,12/1/19,Philadelphia,PA,"Jewish woman discovered that a swastika and the message, ""die scum"" had been spray-painted on the exterior of her apartment."
12239,12/1/19,Seal Beach,CA,A community Hannukah menorah in residential community was vandalized.
12240,12/1/19,Roxbury Township,NJ,"A swastika and ""Hitler"" were spray-painted on a water basin in a park."
12241,12/1/19,Upper Saddle River,NJ,A student discovered that a swastika had been drawn on the classroom white board.
12242,12/1/19,Los Angeles,CA,Jewish individual verbally harassed with anti-Semitic remarks by passerby.
12243,12/1/19,Minnetonka,MN,Students were heard making Holocaust jokes in school.
12244,12/1/19,San Diego,CA,"A Jewish student at an elementary school was told by a classmate that he hates all Jews because Jews ""kill my people."""
12245,12/1/19,Santa Rosa,CA,Confidential
12246,12/1/19,Bloomfield Hills,MI,"Individual received emails with anti-Semitic messages and conspiracies, including claiming Jews control Hollywood and that Israel was responsible for the 9/11 terrorist attacks."
12247,12/1/19,Canyon Country,CA,Neighbor made an anti-Semitic and disparaging remark about Jews and Christmas.
12248,12/1/19,Mount Pleasant,SC,An adolescent boy was harassed for being Jewish by a peer at a community basketball court. The boy was told that his family should have been killed in the Holocaust so that he would not be alive today.
12249,12/1/19,Princeton,NJ,A restroom at Princeton University was vandalized with a threatening anti-Semitic message.
12250,12/1/19,Oceanside,NY,"Jewish institution received a phone call from someone who told them to ""go back to Auschwitz."""
12251,12/1/19,St. Louis,MO,Jewish campus organization received an anti-Semitic email.
12252,12/1/19,Elmwood Park,NJ,Three swastikas were found carved on playground equipment.
12253,12/1/19,Brooklyn,NY,Two Orthodox Jewish children were assaulted inside their apartment building in Williamsburg.
12254,12/1/19,New York,NY,A Jewish organization received a harassing and threatening anti-Semitic phone call.
12255,12/1/19,New York,NY,"A Jewish man was physically assaulted and allegedly told, ""Fuck you, Jew"" by the suspect."
12257,12/1/19,Helena-West Helena,AR,Jewish individual victim of ongoing anti-Semitic harassment and threats at his home in West Helena.
12258,12/1/19,Billerica,MA,A storage bin was vandalized with swastika graffiti.
12259,12/1/19,Brooklyn,NY,"CCTV shows an Orthodox Jewish man walking down the street in Crown Heights past a group of men then a man from the group, unprovoked, threw a chair at him."
12260,12/1/19,Brooklyn,NY,"In Crown Heights, around 2 AM, a group of individuals chased an Orthodox man, yelling ""Fuck you Jew"" and then threw a slushy at him."
12261,12/1/19,Brooklyn,NY,"In Crown Heights during the evening, a group of individuals approached an Orthodox man on the street, punched him the back of the head and fled."
12262,12/1/19,Far Rockaway,NY,"An individual spat on a Jewish woman sitting in her car and said ""I'm going to kill all the Jews."""
12263,12/1/19,Wallingford,PA,"A Jewish man received an anonymous text message that read, ""See you soon, kike."""
12264,12/1/19,St. Albans,VT,"Signs reading, ""ITS [sic] OKAY TO BE ANTI-SEMITIC"" were stapled to telephone poles in downtown St. Albans."
12265,12/1/19,Asheville,NC,A mural on the building of Static Age Records was vandalized with a spray-painted swastika.
12266,12/1/19,Brooklyn,NY,A corner deli shop was vandalized with swastika graffiti in Greenpoint.
12267,12/1/19,Brooklyn,NY,A Jewish man in Boro Park was punched after trying to walk around an individual intentionally blocking his path.
12268,12/1/19,Brooklyn,NY,An Orthodox Jewish man was chased down a street in Williamsburg and punched in the face.
12269,12/1/19,Hot Springs,AR,The Hot Springs Police Department reported that a man vandalized a Hannukah menorah display.
12270,12/1/19,St. Louis Park,MN,Jewish individual's car was vandalized with swastika graffiti.
12271,12/1/19,Charlotte,NC,Confidential
12272,12/1/19,Montclair,NJ,A public menorah was vandalized in Montclair.
12273,12/1/19,Teaneck,NJ,"A man entered a bagel shop and shouted anti-Semitic slurs, subsequently a physical altercation took place and a victim was scratched in the face."
12274,12/1/19,Brooklyn,NY,A Jewish woman and her son were attacked by a woman who yelled anti-Semitic slurs and hit the mother in the head.
12275,12/1/19,Granada Hills,CA,Swastikas were spray-painted onto the sidewalk.
12276,12/1/19,Pawling,NY,"Off the interstate highway, a group of people were holding signs that read ""Jews Want Your Guns."""
12277,12/1/19,Philadelphia,PA,A swastika was drawn into wet cement on the street.
12278,12/1/19,Santa Fe,NM,"Tenant made an anti-Semitic remark to rental management, who are Jewish, saying ""Hitler took care of a lot of things, but he left you two out."""
12279,12/1/19,Groton,CT,An anti-Semitic joke was directed at a Jewish individual.
12280,12/1/19,Brooklyn,NY,A Jewish teenager walking in the Flatbush neighborhood of Brooklyn was verbally harassed with anti-Semitic slurs by two people who also brandished a knife at the teen.
12281,12/1/19,Brooklyn,NY,A man wearing a hoodie entered the Chabad Lubavitch World Headquarters in Brooklyn and threatened to open fire with a gun before escaping to the subway.
12282,12/1/19,Brooklyn,NY,"Three Jewish women in Crown Heights were allegedly slapped by an individual on the street who yelled, ""Fuck you Jew."""
12283,12/1/19,Gainesville,FL,Mezuzahs on at least two apartments in off campus housing at the University of Florida were vandalized.
12284,12/1/19,Hoffman Estates,IL,"A man yelled ""Sieg Heil"" at a group of Jewish worshipers leaving a synagogue."
12285,12/1/19,Wilton Manors,FL,A synagogue received anti-Semitic and homophobic messages through their general online contact form.
12286,12/1/19,Mendham,NJ,A large public menorah belonging to Mendham Borough Park was vandalized during the holiday of Hannukah.
12288,12/1/19,Holly,MI,A tree in a public park was vandalized with swastika graffiti.
12289,12/1/19,Monsey,NY,"A man walked into the home of a rabbi, where a Hanukkah celebration was taking place, and began stabbing people. At least five people were injured in the attack."
12290,12/1/19,Philadelphia,PA,Jewish family harassed at their home by a group of teenagers.
12291,12/1/19,Philadelphia,PA,"Protesters were seen holding signs that read ""Bad Jews: They are going to Hell."""
